Long;Lat;Row;Column;Square;NOR_Squares
13,5;58,25;45;G3;45G3;0
14,5;58,25;45;G4;45G4;0
15,5;58,25;45;G5;45G5;0
-4,5;58,75;46;E5;46E5;0
-3,5;58,75;46;E6;46E6;0
-2,5;58,75;46;E7;46E7;0
-1,5;58,75;46;E8;46E8;1
-0,5;58,75;46;E9;46E9;1
0,5;58,75;46;F0;46F0;1
1,5;58,75;46;F1;46F1;0
2,5;58,75;46;F2;46F2;1
3,5;58,75;46;F3;46F3;1
4,5;58,75;46;F4;46F4;0
5,5;58,75;46;F5;46F5;0
6,5;58,75;46;F6;46F6;0
7,5;58,75;46;F7;46F7;0
8,5;58,75;46;F8;46F8;0
9,5;58,75;46;F9;46F9;0
10,5;58,75;46;G0;46G0;0
11,5;58,75;46;G1;46G1;0
12,5;58,75;46;G2;46G2;0
13,5;58,75;46;G3;46G3;0
14,5;58,75;46;G4;46G4;0
15,5;58,75;46;G5;46G5;0
-4,5;59,25;47;E5;47E5;0
-3,5;59,25;47;E6;47E6;0
-2,5;59,25;47;E7;47E7;0
-1,5;59,25;47;E8;47E8;1
-0,5;59,25;47;E9;47E9;1
0,5;59,25;47;F0;47F0;2
1,5;59,25;47;F1;47F1;2
2,5;59,25;47;F2;47F2;1
3,5;59,25;47;F3;47F3;1
4,5;59,25;47;F4;47F4;0
5,5;59,25;47;F5;47F5;0
6,5;59,25;47;F6;47F6;0
7,5;59,25;47;F7;47F7;0
8,5;59,25;47;F8;47F8;0
9,5;59,25;47;F9;47F9;0
10,5;59,25;47;G0;47G0;0
11,5;59,25;47;G1;47G1;0
12,5;59,25;47;G2;47G2;0
13,5;59,25;47;G3;47G3;0
14,5;59,25;47;G4;47G4;0
15,5;59,25;47;G5;47G5;0
-4,5;59,75;48;E5;48E5;0
-3,5;59,75;48;E6;48E6;0
-2,5;59,75;48;E7;48E7;0
-1,5;59,75;48;E8;48E8;1
-0,5;59,75;48;E9;48E9;1
0,5;59,75;48;F0;48F0;2
1,5;59,75;48;F1;48F1;2
2,5;59,75;48;F2;48F2;1
3,5;59,75;48;F3;48F3;1
4,5;59,75;48;F4;48F4;0
5,5;59,75;48;F5;48F5;0
6,5;59,75;48;F6;48F6;0
7,5;59,75;48;F7;48F7;0
8,5;59,75;48;F8;48F8;0
9,5;59,75;48;F9;48F9;0
10,5;59,75;48;G0;48G0;0
11,5;59,75;48;G1;48G1;0
12,5;59,75;48;G2;48G2;0
13,5;59,75;48;G3;48G3;0
14,5;59,75;48;G4;48G4;0
15,5;59,75;48;G5;48G5;0
-4,5;60,25;49;E5;49E5;0
-3,5;60,25;49;E6;49E6;0
-2,5;60,25;49;E7;49E7;0
-1,5;60,25;49;E8;49E8;0
-0,5;60,25;49;E9;49E9;1
0,5;60,25;49;F0;49F0;1
1,5;60,25;49;F1;49F1;2
2,5;60,25;49;F2;49F2;1
3,5;60,25;49;F3;49F3;1
4,5;60,25;49;F4;49F4;0
5,5;60,25;49;F5;49F5;0
6,5;60,25;49;F6;49F6;0
7,5;60,25;49;F7;49F7;0
8,5;60,25;49;F8;49F8;0
9,5;60,25;49;F9;49F9;0
10,5;60,25;49;G0;49G0;0
11,5;60,25;49;G1;49G1;0
12,5;60,25;49;G2;49G2;0
13,5;60,25;49;G3;49G3;0
14,5;60,25;49;G4;49G4;0
15,5;60,25;49;G5;49G5;0
-4,5;60,75;50;E5;50E5;0
-3,5;60,75;50;E6;50E6;0
-2,5;60,75;50;E7;50E7;0
-1,5;60,75;50;E8;50E8;0
-0,5;60,75;50;E9;50E9;0
0,5;60,75;50;F0;50F0;1
1,5;60,75;50;F1;50F1;2
2,5;60,75;50;F2;50F2;2
3,5;60,75;50;F3;50F3;2
4,5;60,75;50;F4;50F4;0
5,5;60,75;50;F5;50F5;0
6,5;60,75;50;F6;50F6;0
7,5;60,75;50;F7;50F7;0
8,5;60,75;50;F8;50F8;0
9,5;60,75;50;F9;50F9;0
10,5;60,75;50;G0;50G0;0
11,5;60,75;50;G1;50G1;0
12,5;60,75;50;G2;50G2;0
13,5;60,75;50;G3;50G3;0
14,5;60,75;50;G4;50G4;0
15,5;60,75;50;G5;50G5;0
-4,5;61,25;51;E5;51E5;0
-3,5;61,25;51;E6;51E6;0
-2,5;61,25;51;E7;51E7;0
-1,5;61,25;51;E8;51E8;0
-0,5;61,25;51;E9;51E9;0
0,5;61,25;51;F0;51F0;1
1,5;61,25;51;F1;51F1;2
2,5;61,25;51;F2;51F2;2
3,5;61,25;51;F3;51F3;0
4,5;61,25;51;F4;51F4;0
5,5;61,25;51;F5;51F5;0
6,5;61,25;51;F6;51F6;0
7,5;61,25;51;F7;51F7;0
8,5;61,25;51;F8;51F8;0
9,5;61,25;51;F9;51F9;0
10,5;61,25;51;G0;51G0;0
11,5;61,25;51;G1;51G1;0
12,5;61,25;51;G2;51G2;0
13,5;61,25;51;G3;51G3;0
14,5;61,25;51;G4;51G4;0
15,5;61,25;51;G5;51G5;0
-4,5;61,75;52;E5;52E5;0
-3,5;61,75;52;E6;52E6;0
-2,5;61,75;52;E7;52E7;0
-1,5;61,75;52;E8;52E8;0
-0,5;61,75;52;E9;52E9;1
0,5;61,75;52;F0;52F0;1
1,5;61,75;52;F1;52F1;1
2,5;61,75;52;F2;52F2;0
3,5;61,75;52;F3;52F3;0
4,5;61,75;52;F4;52F4;0
5,5;61,75;52;F5;52F5;0
6,5;61,75;52;F6;52F6;0
7,5;61,75;52;F7;52F7;0
8,5;61,75;52;F8;52F8;0
9,5;61,75;52;F9;52F9;0
10,5;61,75;52;G0;52G0;0
11,5;61,75;52;G1;52G1;0
12,5;61,75;52;G2;52G2;0
13,5;61,75;52;G3;52G3;0
14,5;61,75;52;G4;52G4;0
15,5;61,75;52;G5;52G5;0
-4,5;62,25;53;E5;53E5;0
-3,5;62,25;53;E6;53E6;0
-2,5;62,25;53;E7;53E7;0
-1,5;62,25;53;E8;53E8;0
-0,5;62,25;53;E9;53E9;0
0,5;62,25;53;F0;53F0;0
1,5;62,25;53;F1;53F1;0
2,5;62,25;53;F2;53F2;0
3,5;62,25;53;F3;53F3;0
