m.missiontype	m.startyear	m.platform	m.missionnumber	f.serialnumber	c.catchsampleid	specimenid	individualproducttype	individualweight	individualvolume	lengthresolution	length	fat	fatpercent	sex	maturationstage	specialstage	eggstage	moultingstage	spawningfrequency	stomachfillfield	stomachfilllab	digestion	liver	liverparasite	gillworms	swollengills	fungusheart	fungusspores	fungusouter	blackspot	vertebraecount	agingstructureread	agingstructureweight	age	spawningage	spawningzones	readability	otolithtype	otolithedge	otolithcentre	calibration	growthzone1	growthzone2	growthzone3	growthzone4	growthzone5	growthzone6	growthzone7	growthzone8	growthzone9	growthzonestotal	coastalannuli	oceanicannuli	agereader	preferredagereading	tagid	tagtype	gonadweight	liverweight	stomachweight	diameter	mantlelength	carapacelength	headlength	snouttoendoftail	snouttoendsqueezed	snouttoanalfin	snouttodorsalfin	forklength	snouttoboneknob	lengthwithouthead	carapacewidth	rightclawwidth	rightclawlength	meroswidth	meroslength	japanesecut	abdomenwidth	tissuesamplenumber	individualcomment	cond
4	2020	LMEL	2	60009	25	4	1	0.23		2	0.29			1	2	2																		3	2	1	1		4																1																										0.9190734590690759
4	2020	LMEL	2	60009	25	5	1	0.185		2	0.28			2	2	2																		2	2	0	1		4																1																										0.8205713921367914
4	2020	LMEL	2	60009	25	6	1	0.08		2	0.195			2	1	1																		1			1		4																1																										1.0384574039781844
4	2020	LMEL	2	60009	25	7	1	0.285		2	0.315			2	3	3																		2	2	0	1		4																1																										0.8904584738303335
4	2020	LMEL	2	60009	25	8	1	0.065		2	0.205			2	1	1																		1			1		4																1																										0.7275436482466373
4	2020	LMEL	2	60009	25	9	1	0.055		2	0.195			1	1	1																		1			1		4																1																										0.7139394652350017
4	2020	LMEL	2	60009	25	10	1	0.335		2	0.33			2	3	3																		2	2	0	1		4																1																										0.9113178106099666
4	2020	LMEL	2	60009	25	11	1	0.295		2	0.33			1	2	2																		2	2	0	1		4																1																										0.8025037436714632
4	2020	LMEL	2	60009	25	12	1	0.09		2	0.215			1	1	1																		1			1		4																1																										0.8747112769417907
4	2020	LMEL	2	60009	25	13	1	0.395		2	0.35			2	3	3																		3	2	1	1		4																1																										0.9018197280913635
4	2020	LMEL	2	60009	25	14	1	0.33		2	0.325			1	2	2																		2	2	0	1		4																1																										0.9394637494656577
4	2020	LMEL	2	60009	25	15	1	0.34		2	0.34			1	2	2																		2	2	0	1		4																1																										0.8462470924839958
4	2020	LMEL	2	60009	25	16	1	0.47		2	0.375			1	2	2																		3	2	1	1		4																1																										0.8736691286050832
4	2020	LMEL	2	60009	25	17	1			2	0.285																																																																						
4	2020	LMEL	2	60009	25	18	1			2	0.29																																																																						
4	2020	LMEL	2	60009	25	19	1			2	0.29																																																																						
4	2020	LMEL	2	60009	25	20	1			2	0.3																																																																						
4	2020	LMEL	2	60009	25	21	1			2	0.31																																																																						
4	2020	LMEL	2	60009	25	22	1			2	0.31																																																																						
4	2020	LMEL	2	60009	25	23	1			2	0.315																																																																						
4	2020	LMEL	2	60009	25	24	1			2	0.265																																																																						
4	2020	LMEL	2	60009	25	25	1			2	0.29																																																																						
4	2020	LMEL	2	60009	25	26	1			2	0.19																																																																						
4	2020	LMEL	2	60009	25	27	1			2	0.29																																																																						
4	2020	LMEL	2	60009	25	28	1			2	0.195																																																																						
4	2020	LMEL	2	60009	25	29	1			2	0.29																																																																						
4	2020	LMEL	2	60009	25	30	1			2	0.29																																																																						
4	2020	LMEL	2	60009	25	31	1			2	0.315																																																																						
4	2020	LMEL	2	60009	25	32	1			2	0.315																																																																						
4	2020	LMEL	2	60009	25	33	1			2	0.28																																																																						
4	2020	LMEL	2	60009	25	34	1			2	0.185																																																																						
4	2020	LMEL	2	60009	25	35	1			2	0.19																																																																						
4	2020	LMEL	2	60009	25	36	1			2	0.255																																																																						
4	2020	LMEL	2	60009	25	37	1			2	0.33																																																																						
4	2020	LMEL	2	60009	25	38	1			2	0.315																																																																						
4	2020	LMEL	2	60009	25	39	1			2	0.335																																																																						
4	2020	LMEL	2	60009	25	40	1			2	0.175																																																																						
4	2020	LMEL	2	60009	25	41	1			2	0.33																																																																						
4	2020	LMEL	2	60009	25	42	1			2	0.315																																																																						
4	2020	LMEL	2	60009	25	43	1			2	0.195																																																																						
4	2020	LMEL	2	60009	25	44	1			2	0.31																																																																						
4	2020	LMEL	2	60009	25	45	1			2	0.27																																																																						
4	2020	LMEL	2	60009	25	46	1			2	0.33																																																																						
4	2020	LMEL	2	60009	25	47	1			2	0.255																																																																						
4	2020	LMEL	2	60009	25	48	1			2	0.175																																																																						
4	2020	LMEL	2	60009	25	49	1			2	0.32																																																																						
4	2020	LMEL	2	60009	25	50	1			2	0.19																																																																						
4	2020	LMEL	2	60009	25	51	1			2	0.32																																																																						
4	2020	LMEL	2	60009	25	52	1			2	0.19																																																																						
4	2020	LMEL	2	60009	25	53	1			2	0.29																																																																						
4	2020	LMEL	2	60009	25	54	1			2	0.205																																																																						
4	2020	LMEL	2	60009	25	55	1			2	0.205																																																																						
4	2020	LMEL	2	60009	25	56	1			2	0.2																																																																						
4	2020	LMEL	2	60009	25	57	1			2	0.19																																																																						
4	2020	LMEL	2	60009	27	1	1	0.009		2	0.11			1	2	2																		1			1		4																1																										0.6320987654320988
4	2020	LMEL	2	60009	27	2	1	0.005		2	0.095			1	1	1																		1			1		4																1																										0.5394561607579359
