m.missiontype	m.startyear	m.platform	m.missionnumber	f.serialnumber	catchsampleid	commonname	catchcategory	catchpartnumber	aphia	scientificname	identification	foreignobject	sampletype	group	conservation	catchproducttype	raisingfactor	catchweight	catchvolume	catchcount	abundancecategory	sampleproducttype	lengthmeasurement	lengthsampleweight	lengthsamplevolume	lengthsamplecount	specimensamplecount	agesamplecount	agingstructure	parasite	stomach	intestine	tissuesample	samplerecipient	catchcomment
4	2020	LMEL	2	60010	17	makrell	MAKRELL	1	127023	Scomber scombrus			23		1	1	1.0	312.94		1434		1	F	21.818		100	100		2						
4	2020	LMEL	2	60010	18	anemoneeremittkreps	ANEMONEEREMITTKREPS	1	107239	Pagurus prideaux			90		1	1	1.0	0.09		12															
4	2020	LMEL	2	60010	19	Bernakeremittkreps	BERNAKEREMITTKREPS	1	107232	Pagurus bernhardus			90		1	1	1.0	0.001		1															
4	2020	LMEL	2	60010	20	Sjøroselus	SJØROSELUS	1	239867	Pycnogonum litorale			90		1	1	1.0	0.002		2															
4	2020	LMEL	2	60010	21	Rødpølse	RØDPØLSE	1	124535	Parastichopus Tremulus			90		1	1	1.0	0.401		1															
4	2020	LMEL	2	60010	22	sjøpiggsvin	SJØPIGGSVIN	1	123082	Echinoidea			90		1	1	1.0	0.071		2															
4	2020	LMEL	2	60010	23	sjøpiggsvin	SJØPIGGSVIN	2	123082	Echinoidea			90		1	1	1.0	2.456		570															
4	2020	LMEL	2	60010	24	Luidia sarsii	LUIDIA SARSII	1	123922	Luidia sarsii			90		1	1	1.0	0.002		1															
4	2020	LMEL	2	60010	25	Pontaster tenuispinus	PONTASTER TENUISPINUS	1	123851	Pontaster tenuispinus			90		1	1	1.0	0.005		2															
4	2020	LMEL	2	60010	26	sypute	SYPUTE	1	125166	Porania pulvillus			90		1	1	1.0	0.028		1															
4	2020	LMEL	2	60010	27	Ophiura	OPHIURA	1	123574	Ophiura			90		1	1	1.0	0.003		1															
4	2020	LMEL	2	60010	28	Colus	COLUS	1	137704	Colus			90		1	1	1.0	0.008		1															
4	2020	LMEL	2	60010	29	Scaphander lignarius	SCAPHANDER LIGNARIUS	1	139488	Scaphander lignarius			90		1	1	1.0	0.04		9															
