"Ship:","4174","","Survey:","2020102","","Date:","10.02.2020"

"Station type","Time","Ref. no","Loc.St.No","Log","Latitude","Longitude","Depth","Heading","Speed","Water temp","Wind","Wind dir","Air temp","Air pressure","Humidity","Weather","Seastate","Clouds","Ice","Quantity","Code","Number","Serial no.","Wirelength","Min depth","Max depth","Opening","Spread","Comment"
"  -->","00:00:00","","","7648.849","6055.397415 N","00355.786052 E","340.56","243.06","7.0","7.8","13.9","307","5.0","948.6","92","","","","","","","","","","","","","",""
"  -->","00:01:00","","","7648.978","6055.333973 N","00355.561539 E","339.81","240.75","8.9","7.8","18.2","307","5.1","948.4","92","","","","","","","","","","","","","",""
"  -->","00:02:00","","","7649.103","6055.271458 N","00355.344029 E","0.00","241.59","7.7","7.9","15.5","302","5.1","948.7","89","","","","","","","","","","","","","",""
"  -->","00:03:00","","","7649.230","6055.207606 N","00355.121425 E","339.08","242.62","8.3","7.9","17.3","304","5.1","948.3","88","","","","","","","","","","","","","",""
"  -->","00:04:00","","","7649.354","6055.149016 N","00354.905322 E","339.46","244.26","6.1","8.0","17.6","308","5.0","948.4","89","","","","","","","","","","","","","",""
"  -->","00:05:00","","","7649.475","6055.086019 N","00354.692833 E","0.00","242.06","8.3","8.0","14.6","304","5.2","948.5","90","","","","","","","","","","","","","",""
"  -->","00:06:00","","","7649.605","6055.017190 N","00354.462500 E","341.23","245.18","6.8","8.1","14.8","304","5.3","948.6","89","","","","","","","","","","","","","",""
"  -->","00:07:00","","","7649.738","6054.955647 N","00354.231162 E","341.09","243.99","7.6","8.1","17.6","301","5.4","948.9","89","","","","","","","","","","","","","",""
"  -->","00:08:00","","","7649.866","6054.892439 N","00354.005065 E","340.42","242.98","8.1","8.2","18.0","303","5.3","948.8","89","","","","","","","","","","","","","",""
"  -->","00:09:00","","","7649.990","6054.828119 N","00353.785335 E","340.93","240.47","8.4","8.3","15.4","311","5.3","948.6","88","","","","","","","","","","","","","",""
"  -->","00:10:00","","","7650.115","6054.761707 N","00353.571170 E","340.75","242.42","7.0","8.4","14.1","311","5.4","949.0","87","","","","","","","","","","","","","",""
"  -->","00:11:00","","","7650.244","6054.699743 N","00353.345362 E","339.74","243.36","8.9","8.4","13.8","307","5.5","949.2","87","","","","","","","","","","","","","",""
"  -->","00:12:00","","","7650.376","6054.636268 N","00353.108686 E","339.63","242.56","8.0","8.4","15.0","303","5.5","949.2","88","","","","","","","","","","","","","",""
"  -->","00:13:00","","","7650.501","6054.572282 N","00352.892647 E","339.73","241.12","8.0","8.5","17.1","301","5.6","949.0","87","","","","","","","","","","","","","",""
"  -->","00:14:00","","","7650.623","6054.503425 N","00352.689069 E","0.00","242.72","7.5","8.5","16.6","312","5.7","949.2","88","","","","","","","","","","","","","",""
"  -->","00:15:00","","","7650.746","6054.437641 N","00352.481339 E","339.64","243.12","6.6","8.5","15.2","304","5.7","949.1","87","","","","","","","","","","","","","",""
"  -->","00:16:00","","","7650.872","6054.376023 N","00352.261417 E","340.82","242.71","6.6","8.5","15.9","311","5.6","948.8","84","","","","","","","","","","","","","",""
"  -->","00:17:00","","","7650.993","6054.311740 N","00352.053950 E","339.50","241.14","7.9","8.5","16.0","311","5.6","949.3","84","","","","","","","","","","","","","",""
"  -->","00:18:00","","","7651.113","6054.247386 N","00351.846047 E","0.00","242.67","5.9","8.5","18.5","305","5.8","949.4","85","","","","","","","","","","","","","",""
"  -->","00:19:00","","","7651.231","6054.185178 N","00351.643148 E","338.33","243.21","6.6","8.5","19.8","303","5.7","949.4","83","","","","","","","","","","","","","",""
"  -->","00:20:00","","","7651.351","6054.131839 N","00351.433644 E","339.37","262.59","7.1","8.5","17.7","304","5.8","949.0","82","","","","","","","","","","","","","",""
"  -->","00:21:00","","","7651.456","6054.112040 N","00351.212909 E","340.49","279.90","6.8","8.5","17.3","303","6.0","949.2","80","","","","","","","","","","","","","",""
"  -->","00:22:00","","","7651.566","6054.132555 N","00350.991702 E","0.00","293.16","6.9","8.5","14.2","306","6.0","949.4","80","","","","","","","","","","","","","",""
"  -->","00:23:00","","","7651.680","6054.172075 N","00350.774604 E","339.06","289.88","6.9","8.5","18.7","303","6.0","949.5","82","","","","","","","","","","","","","",""
"  -->","00:24:00","","","7651.797","6054.213109 N","00350.549405 E","340.64","291.52","7.4","8.5","19.9","302","6.0","949.4","82","","","","","","","","","","","","","",""
"  -->","00:25:00","","","7651.928","6054.257234 N","00350.303542 E","340.11","288.82","8.7","8.5","15.6","309","6.0","949.3","82","","","","","","","","","","","","","",""
"  -->","00:26:00","","","7652.066","6054.303710 N","00350.033492 E","341.49","293.93","7.2","8.5","19.2","298","6.0","949.0","82","","","","","","","","","","","","","",""
"  -->","00:27:00","","","7652.206","6054.348382 N","00349.764693 E","354.84","291.75","8.3","8.5","18.7","300","6.0","949.1","84","","","","","","","","","","","","","",""
"  -->","00:28:00","","","7652.349","6054.394488 N","00349.488302 E","341.23","294.03","9.1","8.5","19.5","307","6.0","949.1","83","","","","","","","","","","","","","",""
"  -->","00:29:00","","","7652.495","6054.443607 N","00349.210242 E","341.30","291.51","9.9","8.5","16.6","297","5.9","949.3","84","","","","","","","","","","","","","",""
"  -->","00:30:00","","","7652.637","6054.489600 N","00348.932881 E","342.42","292.18","8.5","8.5","16.7","301","5.7","949.4","84","","","","","","","","","","","","","",""
"  -->","00:31:00","","","7652.782","6054.535976 N","00348.654540 E","341.59","293.04","8.3","8.5","21.7","304","5.7","949.4","85","","","","","","","","","","","","","",""
