"Ship:","4174","","Survey:","2020102","","Date:","15.02.2020"

"Station type","Time","Ref. no","Loc.St.No","Log","Latitude","Longitude","Depth","Heading","Speed","Water temp","Wind","Wind dir","Air temp","Air pressure","Humidity","Weather","Seastate","Clouds","Ice","Quantity","Code","Number","Serial no.","Wirelength","Min depth","Max depth","Opening","Spread","Comment"
"  -->","00:00:00","","","8411.114","6033.963359 N","00055.384127 W","67.50","264.76","2.2","8.0","19.5","217","5.8","994.3","79","","","","","","","","","","","","","",""
"  -->","00:01:00","","","8411.140","6033.972697 N","00055.430691 W","67.38","256.76","2.6","-999.00","16.6","226","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:02:00","","","8411.196","6033.967510 N","00055.532408 W","70.49","233.20","2.1","8.0","18.1","234","5.9","994.1","81","","","","","","","","","","","","","",""
"  -->","00:03:00","","","8411.231","6033.938075 N","00055.571759 W","72.31","213.83","2.2","-999.00","17.0","232","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:04:00","","","8411.273","6033.904859 N","00055.596102 W","73.84","212.32","2.7","8.0","17.8","229","5.8","993.1","81","","","","","","","","","","","","","",""
"  -->","00:05:00","","","8411.320","6033.858809 N","00055.628682 W","75.32","211.80","3.0","8.0","16.1","231","5.5","993.1","80","","","","","","","","","","","","","",""
"  -->","00:06:00","","","8411.369","6033.813426 N","00055.656302 W","76.05","211.81","2.9","8.0","18.8","229","5.8","993.0","79","","","","","","","","","","","","","",""
"  -->","00:07:00","","","8411.420","6033.759917 N","00055.687447 W","76.91","212.00","2.9","8.0","15.7","237","5.9","992.9","76","","","","","","","","","","","","","",""
"  -->","00:08:00","","","8411.469","6033.713950 N","00055.720414 W","77.76","212.61","2.9","8.0","14.9","236","6.0","993.0","75","","","","","","","","","","","","","",""
"  -->","00:09:00","","","8411.518","6033.674320 N","00055.741431 W","78.11","211.52","2.9","8.0","18.0","236","6.0","993.1","75","","","","","","","","","","","","","",""
"  -->","00:10:00","","","8411.564","6033.629765 N","00055.768547 W","78.89","218.14","2.6","8.0","19.9","237","6.1","993.1","72","","","","","","","","","","","","","",""
"  -->","00:11:00","","","8411.605","6033.586237 N","00055.809619 W","79.12","220.66","2.6","8.0","18.2","233","6.1","993.2","72","","","","","","","","","","","","","202.00",""
"  -->","00:12:00","","","8411.647","6033.549992 N","00055.850914 W","79.82","220.54","2.5","8.0","14.0","241","6.1","993.1","72","","","","","","","","","","","","","202.00",""
"  -->","00:13:00","","","8411.689","6033.514639 N","00055.894782 W","80.35","220.19","2.4","8.0","18.1","239","6.1","993.3","74","","","","","","","","","","","","","",""
"  -->","00:14:00","","","8411.731","6033.477330 N","00055.934296 W","80.89","220.28","2.6","8.0","17.3","237","6.1","993.6","72","","","","","","","","","","","","","",""
"  -->","00:15:00","","","8411.774","6033.440218 N","00055.974273 W","81.59","219.40","2.6","8.0","17.9","240","6.2","993.2","71","","","","","","","","","","","","","",""
"  -->","00:16:00","","","8411.815","6033.402599 N","00056.009600 W","82.03","222.62","2.2","8.0","15.3","235","6.2","993.1","70","","","","","","","","","","","","","147.75",""
"  -->","00:17:00","","","8411.854","6033.371279 N","00056.055177 W","82.03","227.63","2.3","8.0","15.6","238","6.2","993.2","71","","","","","","","","","","","","","147.75",""
"  -->","00:18:00","","","8411.892","6033.342330 N","00056.104664 W","81.42","228.32","2.3","8.0","15.1","231","6.1","993.5","71","","","","","","","","","","","","","",""
"  -->","00:19:00","","","8411.931","6033.313251 N","00056.154102 W","80.99","228.88","2.3","8.0","16.3","227","6.2","993.4","71","","","","","","","","","","","","","",""
"  -->","00:20:00","","","8411.968","6033.285270 N","00056.204874 W","81.60","228.01","2.2","8.0","18.2","231","6.1","993.6","71","","","","","","","","","","","","","",""
"  -->","00:21:00","","","8412.005","6033.257971 N","00056.252365 W","82.74","227.85","2.2","8.0","16.1","229","6.1","993.5","71","","","","","","","","","","","","","",""
"  -->","00:22:00","","","8412.041","6033.230102 N","00056.300292 W","83.79","227.28","2.4","8.0","16.2","227","6.1","993.5","72","","","","","","","","","","","","","",""
"  -->","00:23:00","","","8412.080","6033.200544 N","00056.349098 W","84.79","228.42","2.3","8.0","13.5","229","6.1","993.6","72","","","","","","","","","","","","","",""
"  -->","00:24:00","","","8412.121","6033.170977 N","00056.403663 W","85.35","225.34","2.3","8.0","12.4","230","6.1","993.7","74","","","","","","","","","","","","","",""
"  -->","00:25:00","","","8412.162","6033.137298 N","00056.445384 W","85.09","212.15","2.4","8.0","15.7","232","6.2","993.8","74","","","","","","","","","","","","","",""
"  -->","00:26:00","","","8412.204","6033.097679 N","00056.469982 W","84.98","210.73","2.4","8.0","14.5","228","6.1","993.6","74","","","","","","","","","","","","","",""
"  -->","00:27:00","","","8412.247","6033.056144 N","00056.492161 W","85.60","211.49","2.7","8.0","15.1","224","6.1","993.5","73","","","","","","","","","","","","","",""
