"Ship:","4174","","Survey:","2020102","","Date:","07.02.2020"

"Station type","Time","Ref. no","Loc.St.No","Log","Latitude","Longitude","Depth","Heading","Speed","Water temp","Wind","Wind dir","Air temp","Air pressure","Humidity","Weather","Seastate","Clouds","Ice","Quantity","Code","Number","Serial no.","Wirelength","Min depth","Max depth","Opening","Spread","Comment"
"  -->","00:00:00","","","7390.647","6012.838527 N","00326.440632 E","284.91","278.35","10.3","7.6","3.7","187","7.0","1025.3","99","","","","","","","","","","","","","",""
"  -->","00:01:00","","","7390.817","6012.859293 N","00326.103130 E","283.56","279.26","10.3","7.6","","","7.0","1025.3","99","","","","","","","","","","","","","",""
"  -->","00:02:00","","","7390.984","6012.882469 N","00325.768076 E","282.55","278.47","10.4","7.5","3.1","187","6.9","1025.2","98","","","","","","","","","","","","","",""
"  -->","00:03:00","","","7391.154","6012.904738 N","00325.429438 E","281.85","278.71","10.5","-999.00","3.5","177","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:04:00","","","7391.329","6012.927162 N","00325.086659 E","280.75","278.81","10.3","7.5","3.2","177","6.9","1025.2","98","","","","","","","","","","","","","",""
"  -->","00:05:00","","","7391.502","6012.950814 N","00324.741154 E","279.91","277.72","10.2","7.5","","","6.9","1025.2","98","","","","","","","","","","","","","",""
"  -->","00:06:00","","","7391.677","6012.969306 N","00324.394953 E","279.34","275.02","10.3","-999.00","3.9","177","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:07:00","","","7391.849","6012.983519 N","00324.050981 E","278.10","275.37","10.3","7.5","4.3","183","6.9","1025.2","98","","","","","","","","","","","","","",""
"  -->","00:08:00","","","7392.019","6012.998821 N","00323.711209 E","276.84","275.16","10.4","7.5","6.2","185","7.1","1025.1","98","","","","","","","","","","","","","",""
"  -->","00:09:00","","","7392.192","6013.014106 N","00323.370219 E","278.17","275.83","10.2","7.5","","","7.1","1025.1","98","","","","","","","","","","","","","",""
"  -->","00:10:00","","","7392.363","6013.030308 N","00323.026720 E","274.77","275.59","10.3","-999.00","6.6","184","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:11:00","","","7392.535","6013.047239 N","00322.680553 E","273.06","275.79","10.6","7.5","5.7","179","7.1","1025.1","98","","","","","","","","","","","","","",""
