"Ship:","4174","","Survey:","2020102","","Date:","16.02.2020"

"Station type","Time","Ref. no","Loc.St.No","Log","Latitude","Longitude","Depth","Heading","Speed","Water temp","Wind","Wind dir","Air temp","Air pressure","Humidity","Weather","Seastate","Clouds","Ice","Quantity","Code","Number","Serial no.","Wirelength","Min depth","Max depth","Opening","Spread","Comment"
"  -->","00:00:00","","","8440.129","6025.388537 N","00057.652810 W","115.35","238.77","0.3","8.0","13.2","232","6.0","964.4","72","","","","","","","","","","","","","",""
"  -->","00:01:00","","","8440.129","6025.388817 N","00057.652095 W","115.46","239.95","0.1","8.0","12.1","239","5.9","964.4","71","","","","","","","","","","","","","",""
"  -->","00:02:00","","","8440.129","6025.388664 N","00057.651397 W","115.41","240.54","0.0","8.0","","","6.0","964.4","70","","","","","","","","","","","","","",""
"  -->","00:03:00","","","8440.130","6025.388631 N","00057.651707 W","115.49","241.73","0.2","-999.00","11.5","231","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:04:00","","","8440.130","6025.388884 N","00057.652513 W","115.48","242.16","0.6","8.0","12.0","232","5.9","964.6","72","","","","","","","","","","","","","",""
"  -->","00:05:00","","","8440.130","6025.388756 N","00057.653065 W","115.54","242.06","0.5","-999.00","11.7","236","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:06:00","","","8440.130","6025.388545 N","00057.651956 W","115.36","241.57","0.1","8.0","11.6","234","5.8","964.6","72","","","","","","","","","","","","","",""
"  -->","00:07:00","","","8440.130","6025.388312 N","00057.650943 W","115.35","240.76","0.1","-999.00","12.0","236","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:08:00","","","8440.130","6025.388436 N","00057.651999 W","","","0.4","-999.00","12.9","-999.00","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:09:00","","","8440.130","6025.388219 N","00057.653192 W","115.44","241.68","0.1","8.0","13.1","239","5.8","964.6","73","","","","","","","","","","","","","",""
"  -->","00:10:00","","","8440.130","6025.388192 N","00057.652211 W","115.40","243.64","0.2","8.0","13.5","236","5.8","964.6","72","","","","","","","","","","","","","",""
"  -->","00:11:00","","","8440.130","6025.388362 N","00057.651347 W","115.56","243.05","0.3","8.0","14.5","236","5.9","964.8","73","","","","","","","","","","","","","",""
"  -->","00:12:00","","","8440.130","6025.388502 N","00057.653217 W","115.48","243.34","0.2","-999.00","15.2","239","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:13:00","","","8440.130","6025.388438 N","00057.652697 W","115.67","243.15","0.1","7.9","","","6.0","964.5","71","","","","","","","","","","","","","",""
"  -->","00:14:00","","","8440.130","6025.388407 N","00057.651411 W","115.65","244.84","0.1","-999.00","","","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:15:00","","","8440.130","6025.388247 N","00057.652122 W","115.68","245.44","0.1","-999.00","15.3","239","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:16:00","","","8440.130","6025.388652 N","00057.651962 W","115.59","244.88","0.1","7.9","16.0","241","6.0","964.6","70","","","","","","","","","","","","","",""
"  -->","00:17:00","","","8440.130","6025.388721 N","00057.652168 W","115.70","243.64","0.0","-999.00","16.0","241","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:18:00","","","8440.130","6025.388420 N","00057.652506 W","115.70","243.69","0.0","7.9","","","6.0","964.7","71","","","","","","","","","","","","","",""
"  -->","00:19:00","","","8440.130","6025.388854 N","00057.652596 W","115.70","246.04","0.2","-999.00","14.1","-999.00","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:20:00","","","8440.130","6025.388820 N","00057.651819 W","115.88","244.75","0.7","-999.00","14.7","236","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:21:00","","","8440.130","6025.388746 N","00057.652624 W","115.59","244.32","0.3","-999.00","14.1","236","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:22:00","","","8440.130","6025.388642 N","00057.653000 W","115.75","244.13","0.2","-999.00","13.0","237","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:23:00","","","8440.130","6025.388577 N","00057.652159 W","115.69","240.64","0.3","-999.00","13.5","230","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:24:00","","","8440.130","6025.388534 N","00057.652143 W","115.62","239.48","0.5","7.9","15.9","231","5.9","964.7","72","","","","","","","","","","","","","",""
"  -->","00:25:00","","","8440.130","6025.388210 N","00057.651637 W","115.53","239.24","0.5","-999.00","12.2","234","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:26:00","","","8440.130","6025.388303 N","00057.651408 W","115.46","238.82","0.1","8.0","13.1","231","6.0","964.7","72","","","","","","","","","","","","","",""
"  -->","00:27:00","","","8440.130","6025.388243 N","00057.651364 W","115.62","238.99","0.1","-999.00","13.8","235","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:28:00","","","8440.130","6025.388410 N","00057.652062 W","115.57","238.23","0.5","8.0","14.2","232","6.0","964.8","72","","","","","","","","","","","","","",""
"  -->","00:29:00","","","8440.130","6025.388070 N","00057.652729 W","115.78","238.69","0.4","-999.00","12.4","227","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:30:00","","","8440.130","6025.388298 N","00057.652913 W","115.68","239.30","0.1","-999.00","","-999.00","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:31:00","","","8440.130","6025.389026 N","00057.651759 W","115.72","242.42","0.3","-999.00","15.5","231","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:32:00","","","8440.130","6025.388705 N","00057.652193 W","115.60","240.08","0.4","8.0","14.5","237","5.9","965.2","71","","","","","","","","","","","","","",""
"  -->","00:33:00","","","8440.130","6025.388461 N","00057.652886 W","115.70","237.82","0.1","-999.00","15.0","236","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:34:00","","","8440.130","6025.387245 N","00057.652610 W","115.75","241.33","0.1","-999.00","15.4","241","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:35:00","","","8440.130","6025.388668 N","00057.653753 W","115.67","245.90","0.3","-999.00","15.9","240","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:36:00","","","8440.130","","","","245.80","","-999.00","16.1","237","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:37:00","","","8440.130","6025.388299 N","00057.651730 W","115.79","243.53","0.5","-999.00","16.5","251","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:38:00","","","8440.130","6025.388125 N","00057.652535 W","115.82","249.14","0.1","-999.00","15.6","246","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:39:00","","","8440.130","6025.388855 N","00057.651542 W","115.88","250.43","0.3","8.0","14.9","244","5.4","965.1","77","","","","","","","","","","","","","",""
"  -->","00:40:00","","","8440.130","6025.388868 N","00057.650954 W","115.59","250.72","0.1","-999.00","18.3","","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:41:00","","","8440.130","6025.388814 N","00057.652208 W","115.71","249.48","0.2","-999.00","15.6","239","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:42:00","","","8440.130","6025.388600 N","00057.653301 W","115.76","246.99","0.4","-999.00","","","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:43:00","","","","","","","","","-999.00","-999.00","-999.00","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:44:00","","","","","","116.03","","","-999.00","-999.00","-999.00","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:45:00","","","8440.130","","","","","","-999.00","-999.00","-999.00","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:46:00","","","","","","","","","-999.00","-999.00","-999.00","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:47:00","","","","","","","","","8.0","14.4","236","5.3","965.2","73","","","","","","","","","","","","","",""
"  -->","00:48:00","","","8440.130","","","115.65","245.40","","8.0","14.9","233","5.4","965.2","76","","","","","","","","","","","","","",""
"  -->","00:49:00","","","8440.130","6025.388765 N","00057.652434 W","115.72","246.48","0.1","8.0","14.2","230","5.3","965.4","74","","","","","","","","","","","","","",""
"  -->","00:50:00","","","8440.130","6025.388851 N","00057.652374 W","115.77","247.03","0.6","-999.00","13.2","230","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:51:00","","","8440.130","6025.388836 N","00057.652552 W","115.85","246.30","0.4","8.0","13.0","230","5.3","965.4","74","","","","","","","","","","","","","",""
"  -->","00:52:00","","","8440.130","6025.388612 N","00057.652604 W","115.68","246.98","0.3","8.0","13.2","231","5.4","965.3","74","","","","","","","","","","","","","",""
"  -->","00:53:00","","","8440.130","6025.388508 N","00057.653019 W","115.90","247.28","0.2","8.0","14.8","227","5.5","965.5","72","","","","","","","","","","","","","",""
"  -->","00:54:00","","","8440.130","6025.389141 N","00057.653083 W","115.98","245.98","0.1","8.0","12.3","228","5.5","965.4","73","","","","","","","","","","","","","",""
"  -->","00:55:00","","","8440.130","6025.388970 N","00057.652225 W","115.70","245.57","0.2","8.0","14.4","227","5.5","965.6","73","","","","","","","","","","","","","",""
"  -->","00:56:00","","","8440.130","6025.388373 N","00057.652913 W","115.86","236.45","0.2","8.0","15.6","228","5.5","965.5","72","","","","","","","","","","","","","",""
"  -->","00:57:00","","","","","","","","","-999.00","-999.00","-999.00","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:58:00","","","","","","","","","-999.00","-999.00","-999.00","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:59:00","","","8440.130","6025.387563 N","00057.651438 W","115.76","232.43","0.3","8.0","12.2","232","5.6","965.3","71","","","","","","","","","","","","","",""
"  -->","01:00:00","","","8440.130","6025.387465 N","00057.650877 W","115.74","235.24","0.3","8.0","12.1","228","5.6","965.3","71","","","","","","","","","","","","","",""
"  -->","01:01:00","","","8440.130","6025.388058 N","00057.650473 W","115.71","236.11","0.2","8.0","12.4","220","5.6","965.2","70","","","","","","","","","","","","","",""
"  -->","01:02:00","","","8440.130","6025.388065 N","00057.651353 W","116.01","235.36","0.2","8.0","13.2","226","5.7","965.3","70","","","","","","","","","","","","","",""
"  -->","01:03:00","","","8440.130","6025.388406 N","00057.651466 W","115.74","233.12","0.3","8.0","12.7","230","5.6","965.3","70","","","","","","","","","","","","","",""
"  -->","01:04:00","","","","","","","","","-999.00","-999.00","-999.00","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","01:05:00","","","","","","","","","-999.00","-999.00","-999.00","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","01:06:00","","","","","","","","","-999.00","-999.00","-999.00","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","01:07:00","","","8440.130","6025.388801 N","00057.653713 W","115.91","228.84","0.3","8.0","13.3","224","5.8","965.4","70","","","","","","","","","","","","","",""
"  -->","01:08:00","","","8440.130","6025.388205 N","00057.652321 W","115.65","227.61","0.2","8.0","12.8","219","5.7","965.4","69","","","","","","","","","","","","","",""
"  -->","01:09:00","","","8440.130","6025.388363 N","00057.652492 W","115.71","227.17","0.9","8.0","14.0","219","5.7","965.2","69","","","","","","","","","","","","","",""
"  -->","01:10:00","","","8440.130","6025.388667 N","00057.652141 W","115.69","226.00","0.4","8.0","13.5","219","5.7","965.5","70","","","","","","","","","","","","","",""
"  -->","01:11:00","","","8440.131","6025.388514 N","00057.651958 W","115.91","225.08","0.5","8.0","12.1","212","5.6","965.5","70","","","","","","","","","","","","","",""
"  -->","01:12:00","","","8440.131","6025.388108 N","00057.652497 W","115.78","224.37","0.1","8.0","12.1","220","5.7","965.5","70","","","","","","","","","","","","","",""
"  -->","01:13:00","","","8440.131","6025.388271 N","00057.652502 W","115.67","224.53","0.7","8.0","12.1","215","5.7","965.5","71","","","","","","","","","","","","","",""
"  -->","01:14:00","","","8440.131","6025.388427 N","00057.653118 W","115.61","224.78","0.1","8.0","13.2","214","5.7","965.6","72","","","","","","","","","","","","","",""
"  -->","01:15:00","","","8440.131","6025.388039 N","00057.652517 W","115.73","224.66","0.1","-999.00","10.6","212","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","01:16:00","","","8440.131","6025.387906 N","00057.651590 W","115.71","225.35","0.3","8.0","11.9","212","5.7","965.5","73","","","","","","","","","","","","","",""
"  -->","01:17:00","","","8440.131","6025.387974 N","00057.651747 W","115.81","225.77","0.2","-999.00","12.0","218","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","01:18:00","","","8440.131","6025.388134 N","00057.652155 W","115.74","224.58","0.5","8.1","11.2","219","5.7","965.5","72","","","","","","","","","","","","","",""
"  -->","01:19:00","","","8440.131","6025.388504 N","00057.653062 W","115.75","222.74","0.2","8.1","12.3","215","5.8","965.5","73","","","","","","","","","","","","","",""
"  -->","01:20:00","","","8440.131","6025.388637 N","00057.652928 W","115.83","222.26","0.1","8.1","11.9","215","5.8","965.7","73","","","","","","","","","","","","","",""
"  -->","01:21:00","","","8440.131","6025.388124 N","00057.652324 W","115.82","222.48","0.2","8.1","10.1","217","5.9","965.6","73","","","","","","","","","","","","","",""
"  -->","01:22:00","","","8440.131","6025.388465 N","00057.652644 W","115.67","221.81","0.6","8.1","12.4","214","5.9","965.6","74","","","","","","","","","","","","","",""
"  -->","01:23:00","","","8440.132","6025.388478 N","00057.653150 W","115.64","221.54","0.9","8.1","12.6","216","5.9","965.7","74","","","","","","","","","","","","","",""
"  -->","01:24:00","","","8440.132","6025.388477 N","00057.652043 W","115.82","222.11","0.2","8.1","14.1","213","5.9","965.4","74","","","","","","","","","","","","","",""
"  -->","01:25:00","","","8440.132","6025.388502 N","00057.652563 W","115.85","223.08","0.2","8.1","11.5","214","5.9","965.5","73","","","","","","","","","","","","","",""
"  -->","01:26:00","","","8440.132","6025.388800 N","00057.653147 W","115.77","224.74","0.2","8.1","12.3","214","6.0","965.6","74","","","","","","","","","","","","","",""
"  -->","01:27:00","","","8440.132","6025.388830 N","00057.654151 W","115.94","222.60","0.2","8.1","12.8","212","5.9","965.6","74","","","","","","","","","","","","","",""
"  -->","01:28:00","","","8440.132","6025.388400 N","00057.653535 W","115.74","219.12","0.5","8.1","13.2","206","6.0","965.6","74","","","","","","","","","","","","","",""
