"Ship:","4174","","Survey:","2020102","","Date:","08.02.2020"

"Station type","Time","Ref. no","Loc.St.No","Log","Latitude","Longitude","Depth","Heading","Speed","Water temp","Wind","Wind dir","Air temp","Air pressure","Humidity","Weather","Seastate","Clouds","Ice","Quantity","Code","Number","Serial no.","Wirelength","Min depth","Max depth","Opening","Spread","Comment"
"  -->","00:00:00","","","7519.240","6048.455333 N","00419.687597 E","373.48","60.11","8.9","-999.00","20.1","156","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:01:00","","","7519.394","6048.546496 N","00419.940891 E","383.01","61.89","8.9","6.9","22.2","157","6.3","1008.8","79","","","","","","","","","","","","","",""
"  -->","00:02:00","","","7519.551","6048.639910 N","00420.196057 E","383.08","64.00","10.2","7.0","19.9","153","6.3","1008.8","79","","","","","","","","","","","","","",""
"  -->","00:03:00","","","7519.709","6048.733368 N","00420.453736 E","389.75","63.35","9.1","7.0","23.4","153","6.3","1008.8","79","","","","","","","","","","","","","",""
"  -->","00:04:00","","","7519.859","6048.803524 N","00420.717985 E","394.43","78.91","8.4","7.1","17.5","161","6.3","1008.8","77","","","","","","","","","","","","","",""
"  -->","00:05:00","","","7520.007","6048.857150 N","00421.001961 E","389.51","80.51","8.8","7.1","18.9","154","6.2","1008.8","77","","","","","","","","","","","","","",""
"  -->","00:06:00","","","7520.155","6048.918352 N","00421.267973 E","390.88","78.61","8.9","7.0","18.3","164","6.3","1008.4","77","","","","","","","","","","","","","",""
"  -->","00:07:00","","","7520.303","6048.976017 N","00421.550756 E","389.93","78.74","8.4","7.0","19.8","166","6.4","1008.4","77","","","","","","","","","","","","","",""
"  -->","00:08:00","","","7520.451","6049.034258 N","00421.825402 E","388.72","84.34","8.8","7.0","19.2","166","6.3","1008.4","77","","","","","","","","","","","","","",""
"  -->","00:09:00","","","7520.603","6049.088387 N","00422.112131 E","388.27","78.67","8.8","","21.2","166","","","","","","","","","","","","","","","","",""
"  -->","00:10:00","","","7520.760","6049.149120 N","00422.405894 E","389.05","75.19","8.2","7.0","21.7","163","6.2","1008.6","78","","","","","","","","","","","","","",""
"  -->","00:11:00","","","7520.908","6049.207432 N","00422.692849 E","392.43","80.11","9.9","-999.00","19.0","166","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:12:00","","","7521.060","6049.258392 N","00422.979021 E","397.69","83.72","9.2","","20.2","162","6.2","A","78","","","","","","","","","","","","","",""
"  -->","00:13:00","","","7521.206","6049.303874 N","00423.258185 E","403.55","83.25","8.3","7.0","20.1","165","6.2","1008.6","79","","","","","","","","","","","","","",""
"  -->","00:14:00","","","7521.354","6049.350224 N","00423.547248 E","405.05","84.79","9.6","-999.00","20.8","160","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:15:00","","","7521.504","6049.391378 N","00423.843755 E","397.93","84.58","9.3","7.0","","","6.2","1008.6","79","","","","","","","","","","","","","",""
"  -->","00:16:00","","","7521.657","6049.431830 N","00424.139449 E","397.78","85.42","8.6","7.0","21.2","159","6.2","1008.6","80","","","","","","","","","","","","","",""
"  -->","00:17:00","","","7521.806","6049.479805 N","00424.428107 E","408.26","85.40","8.5","7.0","19.4","160","6.2","1008.6","80","","","","","","","","","","","","","",""
"  -->","00:18:00","","","7521.959","6049.526867 N","00424.718727 E","411.51","81.20","8.4","7.0","19.3","167","6.2","1008.2","78","","","","","","","","","","","","","",""
"  -->","00:19:00","","","7522.106","6049.573878 N","00425.004573 E","401.92","84.46","8.9","7.0","20.0","169","6.3","1008.2","78","","","","","","","","","","","","","",""
"  -->","00:20:00","","","7522.256","6049.621850 N","00425.291439 E","398.22","85.98","10.0","7.0","19.4","168","6.3","1008.3","79","","","","","","","","","","","","","",""
"  -->","00:21:00","","","7522.403","6049.671371 N","00425.574928 E","397.69","85.12","9.2","7.0","18.8","162","6.1","1008.2","79","","","","","","","","","","","","","",""
"  -->","00:22:00","","","7522.548","6049.719538 N","00425.850604 E","401.07","85.82","8.9","-999.00","21.5","157","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:23:00","","","7522.697","6049.757985 N","00426.143202 E","411.74","90.41","9.5","7.0","20.7","157","6.2","1008.2","79","","","","","","","","","","","","","",""
"  -->","00:24:00","","","7522.847","6049.794678 N","00426.445583 E","399.14","86.92","9.1","7.0","19.4","155","6.1","1008.0","79","","","","","","","","","","","","","",""
