"Ship:","4174","","Survey:","2020102","","Date:","06.02.2020"

"Station type","Time","Ref. no","Loc.St.No","Log","Latitude","Longitude","Depth","Heading","Speed","Water temp","Wind","Wind dir","Air temp","Air pressure","Humidity","Weather","Seastate","Clouds","Ice","Quantity","Code","Number","Serial no.","Wirelength","Min depth","Max depth","Opening","Spread","Comment"
"  -->","08:24:00","","","","","","","","","-999.00","-999.00","-999.00","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","08:25:00","","","7316.932","6023.866030 N","00518.903769 E","0.00","196.53","0.0","-999.00","1.0","340","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","08:26:00","","","7316.932","6023.866028 N","00518.903769 E","0.00","196.53","0.0","7.6","1.8","338","6.6","1022.2","100","","","","","","","","","","","","","",""
"  -->","08:27:00","","","7316.932","6023.866040 N","00518.903768 E","0.00","196.52","0.0","-999.00","","","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","08:28:00","","","7316.932","6023.866039 N","00518.903761 E","0.00","196.52","0.0","7.6","0.8","286","6.6","1022.2","100","","","","","","","","","","","","","",""
"  -->","08:29:00","","","7316.932","6023.866043 N","00518.903756 E","0.00","196.48","0.0","7.6","0.9","293","6.6","1022.2","100","","","","","","","","","","","","","",""
"  -->","08:30:00","","","7316.932","6023.866045 N","00518.903763 E","0.00","196.46","0.0","-999.00","1.4","306","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","08:31:00","","","7316.932","6023.866045 N","00518.903767 E","0.00","196.46","0.0","7.6","1.4","310","6.6","1022.2","99","","","","","","","","","","","","","",""
"  -->","08:32:00","","","7316.932","6023.866044 N","00518.903768 E","0.00","196.45","0.0","7.6","1.4","340","6.6","1022.2","99","","","","","","","","","","","","","",""
"  -->","08:33:00","","","7316.932","6023.866043 N","00518.903785 E","0.00","196.43","0.0","-999.00","1.5","343","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","08:34:00","","","7316.932","6023.866053 N","00518.903758 E","0.00","196.43","0.0","7.6","1.5","326","6.6","1022.2","99","","","","","","","","","","","","","",""
"  -->","08:35:00","","","7316.932","6023.866045 N","00518.903775 E","0.00","196.42","0.0","7.6","","","6.6","1022.2","99","","","","","","","","","","","","","",""
"  -->","08:36:00","","","7316.932","6023.866044 N","00518.903756 E","0.00","196.42","0.0","7.6","1.0","356","6.5","1022.2","100","","","","","","","","","","","","","",""
"  -->","08:37:00","","","7316.932","6023.866052 N","00518.903764 E","0.00","196.43","0.0","-999.00","","357","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
