"Ship:","4174","","Survey:","2020102","","Date:","17.02.2020"

"Station type","Time","Ref. no","Loc.St.No","Log","Latitude","Longitude","Depth","Heading","Speed","Water temp","Wind","Wind dir","Air temp","Air pressure","Humidity","Weather","Seastate","Clouds","Ice","Quantity","Code","Number","Serial no.","Wirelength","Min depth","Max depth","Opening","Spread","Comment"
"  -->","00:00:00","","","8472.330","6026.453042 N","00059.256738 W","127.91","197.18","1.9","7.9","18.0","202","6.7","956.4","82","","","","","","","","","","","","","",""
"  -->","00:01:00","","","8472.361","6026.424452 N","00059.276441 W","128.02","197.19","1.8","-999.00","20.3","201","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:02:00","","","8472.393","6026.399840 N","00059.293593 W","128.18","197.09","1.7","7.9","20.7","203","6.2","956.3","85","","","","","","","","","","","","","",""
"  -->","00:03:00","","","8472.423","6026.369882 N","00059.310541 W","128.27","196.52","1.6","7.9","21.6","200","6.1","956.2","86","","","","","","","","","","","","","",""
"  -->","00:04:00","","","8472.444","6026.362128 N","00059.314079 W","128.80","196.60","1.7","8.0","18.9","201","6.0","955.9","86","","","","","","","","","","","","","",""
"  -->","00:05:00","","","8472.481","6026.313512 N","00059.341548 W","128.69","199.69","1.6","-999.00","20.7","201","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:06:00","","","8472.505","6026.296438 N","00059.354741 W","128.87","201.21","1.7","8.0","","","6.0","956.2","87","","","","","","","","","","","","","0.00",""
"  -->","00:07:00","","","8472.538","6026.266341 N","00059.382980 W","128.88","201.35","1.7","8.0","21.5","207","6.0","956.1","86","","","","","","","","","","","","","",""
"  -->","00:08:00","","","8472.567","6026.236632 N","00059.409962 W","128.90","202.75","1.7","8.0","20.3","203","6.0","956.2","86","","","","","","","","","","","","","",""
"  -->","00:09:00","","","8472.596","6026.210161 N","00059.435570 W","128.84","201.26","1.8","-999.00","20.1","207","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:10:00","","","8472.623","6026.191023 N","00059.453798 W","128.98","201.47","1.6","7.9","23.1","210","5.9","956.1","87","","","","","","","","","","","","","",""
"  -->","00:11:00","","","8472.650","6026.161262 N","00059.477587 W","128.96","201.93","2.1","7.9","19.3","201","5.8","956.3","87","","","","","","","","","","","","","",""
"  -->","00:12:00","","","8472.684","6026.131519 N","00059.505421 W","129.03","201.79","1.9","7.9","19.1","208","5.8","956.2","89","","","","","","","","","","","","","",""
"  -->","00:13:00","","","8472.717","6026.103227 N","00059.530232 W","128.80","201.24","1.9","7.9","18.9","205","5.7","956.5","89","","","","","","","","","","","","","",""
"  -->","00:14:00","","","8472.748","6026.075045 N","00059.546899 W","128.81","200.72","1.6","7.9","21.7","207","5.7","956.5","89","","","","","","","","","","","","","",""
"  -->","00:15:00","","","8472.766","6026.057556 N","00059.556280 W","128.50","202.00","2.0","7.9","18.6","200","5.6","956.2","89","","","","","","","","","","","","","",""
"  -->","00:16:00","","","8472.811","6026.016555 N","00059.582539 W","128.15","202.14","1.8","-999.00","19.8","204","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:17:00","","","8472.843","6025.986220 N","00059.603017 W","127.85","202.27","1.9","7.9","20.4","204","5.6","956.3","90","","","","","","","","","","","","","0.00",""
"  -->","00:18:00","","","8472.874","6025.956510 N","00059.619421 W","127.60","202.02","2.0","7.9","21.9","203","5.8","956.1","89","","","","","","","","","","","","","",""
"  -->","00:19:00","","","8472.901","6025.930771 N","00059.635160 W","127.37","201.97","2.0","7.9","20.0","211","5.8","956.2","89","","","","","","","","","","","","","",""
"  -->","00:20:00","","","8472.939","6025.894615 N","00059.650680 W","126.90","201.46","1.9","7.9","22.4","204","5.8","956.2","89","","","","","","","","","","","","","",""
"  -->","00:21:00","","","8472.968","6025.868197 N","00059.661133 W","126.58","201.93","1.6","-999.00","19.5","204","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:22:00","","","8472.997","6025.837644 N","00059.677378 W","126.40","202.55","1.8","7.9","18.5","202","5.8","956.2","89","","","","","","","","","","","","","",""
"  -->","00:23:00","","","8473.029","6025.808785 N","00059.694408 W","126.07","201.82","1.8","7.9","23.5","204","5.8","956.4","89","","","","","","","","","","","","","",""
"  -->","00:24:00","","","8473.059","6025.781559 N","00059.707734 W","125.93","201.73","1.9","7.9","20.8","200","5.7","956.4","89","","","","","","","","","","","","","",""
"  -->","00:25:00","","","8473.090","6025.751758 N","00059.726494 W","125.84","202.26","1.8","7.9","20.7","196","5.8","956.3","89","","","","","","","","","","","","","",""
"  -->","00:26:00","","","8473.115","6025.734805 N","00059.737680 W","125.41","201.52","1.9","7.9","19.2","205","5.8","956.4","89","","","","","","","","","","","","","",""
"  -->","00:27:00","","","8473.138","6025.713118 N","00059.747936 W","124.90","203.08","2.0","7.9","20.0","200","5.9","956.4","88","","","","","","","","","","","","","",""
"  -->","00:28:00","","","8473.160","6025.683221 N","00059.777101 W","124.94","261.25","0.7","7.9","21.6","196","6.0","956.4","88","","","","","","","","","","","","","",""
"  -->","00:29:00","","","8473.181","6025.703508 N","00059.799076 W","125.61","287.28","1.7","7.9","16.3","197","5.9","957.3","87","","","","","","","","","","","","","",""
"  -->","00:30:00","","","8473.208","6025.732898 N","00059.808291 W","126.10","298.93","1.6","7.9","21.3","202","6.0","958.1","89","","","","","","","","","","","","","",""
"  -->","00:31:00","","","8473.236","6025.760711 N","00059.797538 W","126.37","302.30","1.6","-999.00","20.8","204","-999.00","-999.00","-999.00","","","","","","","","","","","","","",""
"  -->","00:32:00","","","8473.269","6025.788597 N","00059.771600 W","126.68","305.99","2.0","7.9","20.2","","6.1","958.8","86","","","","","","","","","","","","","",""
"  -->","00:33:00","","","8473.300","6025.815639 N","00059.730432 W","126.53","312.45","1.9","7.9","15.7","202","6.2","958.8","83","","","","","","","","","","","","","",""
"  -->","00:34:00","","","8473.330","6025.838739 N","00059.689400 W","126.51","315.09","1.9","7.9","15.4","212","6.4","958.7","82","","","","","","","","","","","","","",""
"  -->","00:35:00","","","8473.363","6025.863328 N","00059.647579 W","126.76","316.13","2.2","7.9","15.1","209","6.4","958.5","81","","","","","","","","","","","","","",""
"  -->","00:36:00","","","8473.394","6025.886239 N","00059.606248 W","126.69","312.76","1.7","7.9","15.1","209","6.5","958.5","81","","","","","","","","","","","","","",""
"  -->","00:37:00","","","8473.424","6025.908657 N","00059.565881 W","126.86","313.64","1.7","7.9","18.1","210","6.5","958.4","81","","","","","","","","","","","","","",""
"  -->","00:38:00","","","8473.453","6025.930707 N","00059.526336 W","127.32","315.77","2.0","7.9","15.5","209","6.6","958.3","81","","","","","","","","","","","","","",""
"  -->","00:39:00","","","8473.483","6025.952825 N","00059.488226 W","127.22","313.91","1.4","7.9","13.7","203","6.8","958.5","80","","","","","","","","","","","","","",""
"  -->","00:40:00","","","8473.512","6025.973977 N","00059.449731 W","127.03","312.16","1.5","7.9","18.1","212","6.8","958.2","81","","","","","","","","","","","","","",""
"  -->","00:41:00","","","8473.541","6025.994368 N","00059.411520 W","127.33","313.59","1.6","7.9","15.6","209","6.8","958.3","81","","","","","","","","","","","","","",""
"  -->","00:42:00","","","8473.568","6026.014752 N","00059.374517 W","127.22","311.26","1.8","7.9","16.1","208","6.8","958.4","81","","","","","","","","","","","","","",""
"  -->","00:43:00","","","8473.596","6026.035899 N","00059.338094 W","127.31","313.96","1.5","7.9","10.8","204","6.7","958.2","82","","","","","","","","","","","","","",""
"  -->","00:44:00","","","8473.621","6026.056930 N","00059.310642 W","127.63","316.24","1.7","7.9","19.8","192","6.8","958.5","82","","","","","","","","","","","","","",""
"  -->","00:45:00","","","8473.649","6026.080363 N","00059.282451 W","127.33","313.63","1.7","7.9","13.7","202","6.8","958.0","82","","","","","","","","","","","","","",""
"  -->","00:46:00","","","8473.676","6026.103525 N","00059.259523 W","127.99","307.92","1.5","7.9","13.8","199","6.7","958.4","82","","","","","","","","","","","","","",""
"  -->","00:47:00","","","8473.702","6026.127245 N","00059.239183 W","127.89","308.56","1.7","7.9","17.9","209","6.7","958.3","82","","","","","","","","","","","","","",""
"  -->","00:48:00","","","8473.728","6026.150949 N","00059.222074 W","128.34","307.10","1.5","7.9","16.6","203","6.7","958.4","83","","","","","","","","","","","","","",""
"  -->","00:49:00","","","8473.755","6026.176389 N","00059.204693 W","128.53","308.41","1.5","7.9","13.4","201","6.6","958.2","83","","","","","","","","","","","","","",""
"  -->","00:50:00","","","8473.781","6026.200314 N","00059.190353 W","128.65","307.36","1.7","7.9","15.6","204","6.6","958.3","83","","","","","","","","","","","","","",""
"  -->","00:51:00","","","8473.807","6026.225196 N","00059.173227 W","128.99","307.53","1.8","7.9","19.1","206","6.7","958.1","83","","","","","","","","","","","","","-9.44",""
"  -->","00:52:00","","","8473.835","6026.249472 N","00059.151208 W","129.14","305.69","1.7","7.9","17.8","205","6.5","958.3","83","","","","","","","","","","","","","-9.44",""
"  -->","00:53:00","","","8473.861","6026.272102 N","00059.127968 W","129.15","308.21","1.6","7.9","17.8","204","6.3","958.4","83","","","","","","","","","","","","","",""
