"Ship:","4174","","Survey:","2020102","","Date:","18.02.2020"

"Station type","Time","Ref. no","Loc.St.No","Log","Latitude","Longitude","Depth","Heading","Speed","Water temp","Wind","Wind dir","Air temp","Air pressure","Humidity","Weather","Seastate","Clouds","Ice","Quantity","Code","Number","Serial no.","Wirelength","Min depth","Max depth","Opening","Spread","Comment"
"  -->","00:00:00","","","8516.345","6028.146684 N","00042.350200 W","112.57","107.84","5.6","8.1","12.7","256","6.6","984.3","74","","","","","","","","","","","","","",""
"  -->","00:01:00","","","8516.434","6028.126504 N","00042.184810 W","120.10","106.40","5.1","8.1","14.5","255","6.7","984.2","73","","","","","","","","","","","","","",""
"  -->","00:02:00","","","8516.527","6028.105257 N","00041.998813 W","126.04","105.99","5.8","8.1","13.0","254","6.8","984.3","72","","","","","","","","","","","","","",""
"  -->","00:03:00","","","8516.619","6028.085405 N","00041.811379 W","131.25","105.46","5.4","8.1","12.0","253","6.9","984.2","71","","","","","","","","","","","","","",""
"  -->","00:04:00","","","8516.710","6028.066689 N","00041.631908 W","130.67","106.26","5.2","8.1","16.7","257","6.5","984.2","73","","","","","","","","","","","","","",""
"  -->","00:05:00","","","8516.803","6028.045537 N","00041.451729 W","124.72","107.27","5.9","8.1","14.6","255","6.3","984.3","76","","","","","","","","","","","","","",""
"  -->","00:06:00","","","8516.895","6028.024181 N","00041.266669 W","108.95","107.70","5.9","8.2","14.8","256","5.8","984.3","77","","","","","","","","","","","","","",""
"  -->","00:07:00","","","8516.996","6028.001782 N","00041.074938 W","116.79","108.19","6.1","8.2","16.2","268","5.3","984.1","80","","","","","","","","","","","","","",""
"  -->","00:08:00","","","8517.092","6027.979659 N","00040.880767 W","120.53","107.02","6.1","8.2","13.9","258","4.9","984.2","81","","","","","","","","","","","","","",""
"  -->","00:09:00","","","8517.191","6027.957781 N","00040.686590 W","127.79","107.36","5.8","8.2","17.4","255","4.6","984.4","85","","","","","","","","","","","","","",""
"  -->","00:10:00","","","8517.290","6027.935633 N","00040.492564 W","131.79","107.18","5.8","8.2","13.6","256","4.1","984.4","85","","","","","","","","","","","","","",""
"  -->","00:11:00","","","8517.386","6027.914340 N","00040.304244 W","135.18","106.37","5.6","8.2","11.6","248","4.2","984.4","89","","","","","","","","","","","","","",""
"  -->","00:12:00","","","8517.480","6027.894698 N","00040.120282 W","137.86","106.12","5.3","8.2","11.8","251","4.2","984.5","86","","","","","","","","","","","","","",""
"  -->","00:13:00","","","8517.573","6027.874708 N","00039.940254 W","140.87","106.47","5.5","8.2","9.7","247","4.4","984.5","89","","","","","","","","","","","","","",""
"  -->","00:14:00","","","8517.663","6027.854981 N","00039.764500 W","142.72","105.92","5.6","8.2","10.8","245","4.6","984.5","87","","","","","","","","","","","","","",""
"  -->","00:15:00","","","8517.750","6027.835220 N","00039.591136 W","143.25","106.29","5.3","8.2","12.3","251","4.6","984.5","86","","","","","","","","","","","","","",""
"  -->","00:16:00","","","8517.837","6027.815239 N","00039.421140 W","141.97","106.55","5.6","8.2","12.3","254","4.7","984.5","87","","","","","","","","","","","","","",""
"  -->","00:17:00","","","8517.923","6027.798096 N","00039.254336 W","139.14","105.37","4.9","8.3","11.1","249","4.9","984.5","85","","","","","","","","","","","","","",""
"  -->","00:18:00","","","8518.006","6027.781507 N","00039.093119 W","137.86","106.80","4.7","8.3","9.0","256","5.2","984.5","84","","","","","","","","","","","","","",""
"  -->","00:19:00","","","8518.087","6027.764668 N","00038.933737 W","135.98","113.13","4.6","8.3","11.8","255","5.5","984.5","84","","","","","","","","","","","","","",""
"  -->","00:20:00","","","8518.160","6027.731221 N","00038.801720 W","136.35","146.26","3.3","8.3","12.9","253","5.5","984.5","82","","","","","","","","","","","","","",""
"  -->","00:21:00","","","8518.221","6027.685409 N","00038.716466 W","138.79","152.76","3.7","8.3","10.6","251","5.7","984.6","82","","","","","","","","","","","","","",""
"  -->","00:22:00","","","8518.285","6027.634782 N","00038.636487 W","141.56","154.41","4.3","8.3","10.4","257","6.0","984.5","81","","","","","","","","","","","","","",""
"  -->","00:23:00","","","8518.363","6027.568646 N","00038.549562 W","144.08","154.54","5.3","8.3","12.4","256","6.1","984.7","81","","","","","","","","","","","","","",""
"  -->","00:24:00","","","8518.452","6027.494490 N","00038.452519 W","144.11","153.41","5.2","8.3","12.3","257","6.0","984.6","79","","","","","","","","","","","","","",""
"  -->","00:25:00","","","8518.546","6027.415526 N","00038.349571 W","142.30","152.56","5.8","8.3","11.9","263","6.1","984.6","78","","","","","","","","","","","","","",""
"  -->","00:26:00","","","8518.648","6027.329525 N","00038.238210 W","139.33","152.69","6.4","8.3","11.5","252","6.0","984.6","79","","","","","","","","","","","","","",""
"  -->","00:27:00","","","8518.752","6027.243584 N","00038.122608 W","139.83","152.56","6.3","8.3","10.1","261","5.8","984.7","79","","","","","","","","","","","","","",""
"  -->","00:28:00","","","8518.855","6027.156565 N","00038.010195 W","140.59","152.31","6.4","8.4","9.5","258","5.5","984.7","83","","","","","","","","","","","","","",""
"  -->","00:29:00","","","8518.961","6027.068578 N","00037.894309 W","138.69","151.73","6.1","8.4","10.1","253","5.4","984.7","84","","","","","","","","","","","","","",""
"  -->","00:30:00","","","8519.063","6026.982678 N","00037.785193 W","139.11","152.73","6.3","8.4","10.5","249","5.4","984.7","84","","","","","","","","","","","","","",""
